,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
0,Akrotiri and Dhekelia,2024-08-19,3,,,,$1.69 , --, --, --,0,18195,$0 
1,Akrotiri and Dhekelia,2024-08-26,5,,1,,$0.00 , --,$0.00 , --,0,18195,$0 
2,Akrotiri and Dhekelia,2024-09-02,1,,1,,$4.40 , --,$0.00 , --,0,18195,$0 
3,Akrotiri and Dhekelia,2024-09-09,1,,4,,$0.00 , --,$0.01 , --,0,18195,$0 
4,Akrotiri and Dhekelia,2024-09-16,6,1,,,$0.00 ,$0.00 , --, --,0,18195,$0 
5,Akrotiri and Dhekelia,2024-09-23,3,,5,,$0.00 , --,$0.01 , --,0,18195,$0 
6,Akrotiri and Dhekelia,2024-09-30,4,,4,,$6.49 , --,$0.00 , --,1,18195,$588 
7,Akrotiri and Dhekelia,2024-10-07,,,3,, --, --,$0.01 , --,0,18195,$0 
8,Akrotiri and Dhekelia,2024-10-14,3,,1,,$5.03 , --,$0.00 , --,0,18195,$0 
9,Akrotiri and Dhekelia,2024-10-21,3,20,1,,$6.17 ,$0.09 ,$0.00 , --,0,18195,$0 
10,Akrotiri and Dhekelia,2024-10-28,,1,,, --,$0.00 , --, --,0,18195,$0 
11,Akrotiri and Dhekelia,2024-11-18,,,11,, --, --,$0.04 , --,0,18195,$0 
12,Akrotiri and Dhekelia,2024-11-25,1,,6,,$1.16 , --,$0.02 , --,0,18195,$0 
13,Akrotiri and Dhekelia,2024-12-02,2,1,,,$0.00 ,$0.00 , --, --,0,18195,$0 
14,Akrotiri and Dhekelia,2024-12-09,1,2,,,$0.00 ,$0.00 , --, --,0,18195,$0 
15,Akrotiri and Dhekelia,2024-12-16,1,3,,,$0.00 ,$0.00 , --, --,0,18195,$0 
16,Akrotiri and Dhekelia,2024-12-23,,,1,, --, --,$0.02 , --,0,18195,$0 
17,Akrotiri and Dhekelia,2025-01-06,,,2,, --, --,$0.00 , --,0,18195,$0 
18,Akrotiri and Dhekelia,2025-01-13,,,4,, --, --,$0.02 , --,0,18195,$0 
19,Akrotiri and Dhekelia,2025-01-20,2,1,1,,$0.00 ,$0.00 ,$0.01 , --,0,18195,$0 
20,Akrotiri and Dhekelia,2025-01-27,3,4,,,$0.00 ,$0.00 , --, --,0,18195,$0 
21,Akrotiri and Dhekelia,2025-02-03,,4,,, --,$0.00 , --, --,0,18195,$0 
22,Akrotiri and Dhekelia,2025-02-10,1,21,,,$0.00 ,$0.06 , --, --,0,18195,$0 
23,Akrotiri and Dhekelia,2025-02-17,2,5,,,$0.00 ,$0.00 , --, --,0,18195,$0 
24,Alabama,2023-09-25,105,39,,,$23.65 ,$4.13 , --, --,1,5039877,$588 
25,Alabama,2023-10-02,555,134,495,,$141.48 ,$0.31 ,$4.34 , --,5,5039877,"$2,940 "
26,Alabama,2023-10-09,368,23,"1,033",,$81.14 ,$15.50 ,$10.26 , --,1,5039877,$588 
27,Alabama,2023-10-16,301,95,576,,$126.01 ,$8.14 ,$5.97 , --,1,5039877,$588 
28,Alabama,2023-10-23,319,"2,468",428,,$148.77 ,$29.32 ,$5.69 , --,1,5039877,$588 
29,Alabama,2023-10-30,389,"5,428",410,,$101.49 ,$9.50 ,$6.03 , --,2,5039877,"$1,176 "
30,Alabama,2023-11-06,367,63,422,,$140.07 ,$0.00 ,$5.16 , --,2,5039877,"$1,176 "
31,Alabama,2023-11-13,383,77,390,,$177.16 ,$19.13 ,$5.48 , --,0,5039877,$0 
32,Alabama,2023-11-20,487,89,334,,$225.31 ,$16.04 ,$6.56 , --,5,5039877,"$2,940 "
33,Alabama,2023-11-27,447,93,361,,$227.35 ,$4.39 ,$5.53 , --,5,5039877,"$2,940 "
34,Alabama,2023-12-04,524,187,438,,$272.49 ,$3.56 ,$6.91 , --,3,5039877,"$1,764 "
35,Alabama,2023-12-11,471,189,474,,$273.99 ,$5.36 ,$7.55 , --,7,5039877,"$4,116 "
36,Alabama,2023-12-18,547,163,816,,$308.27 ,$0.00 ,$11.01 , --,8,5039877,"$4,704 "
37,Alabama,2023-12-25,"1,288",354,"1,898",,$570.06 ,$10.54 ,$20.41 , --,4,5039877,"$2,352 "
38,Alabama,2024-01-01,"1,433",75,"2,378",,$761.27 ,$0.00 ,$23.22 , --,9,5039877,"$5,292 "
39,Alabama,2024-01-08,922,596,"1,733",,$412.74 ,$52.73 ,$23.75 , --,4,5039877,"$2,352 "
40,Alabama,2024-01-15,743,947,"1,662",,$312.97 ,$12.60 ,$21.41 , --,7,5039877,"$4,116 "
41,Alabama,2024-01-22,510,280,"7,717",,$166.36 ,$16.37 ,$32.71 , --,3,5039877,"$1,764 "
42,Alabama,2024-01-29,503,284,"3,930",,$204.81 ,$51.12 ,$29.30 , --,3,5039877,"$1,764 "
43,Alabama,2024-02-05,456,409,"5,550",209,$198.79 ,$16.96 ,$48.03 ,$3.16 ,6,5039877,"$3,528 "
44,Alabama,2024-02-12,546,276,"3,287",606,$190.12 ,$98.07 ,$34.53 ,$5.65 ,6,5039877,"$3,528 "
45,Alabama,2024-02-19,794,"2,781","5,283",516,$297.64 ,$25.36 ,$40.37 ,$10.55 ,11,5039877,"$6,468 "
46,Alabama,2024-02-26,351,"1,150","2,468",266,$144.82 ,$35.99 ,$24.77 ,$11.35 ,4,5039877,"$2,352 "
47,Alabama,2024-03-04,404,"2,007","4,074",306,$116.65 ,$9.48 ,$32.48 ,$3.78 ,1,5039877,$588 
48,Alabama,2024-03-11,702,"2,005","3,817",914,$291.66 ,$46.00 ,$37.22 ,$24.19 ,7,5039877,"$4,116 "
49,Alabama,2024-03-18,754,"1,619","3,860",207,$368.07 ,$36.38 ,$34.54 ,$1.31 ,5,5039877,"$2,940 "
50,Alabama,2024-03-25,619,"1,244","2,975",,$350.80 ,$28.58 ,$34.06 , --,8,5039877,"$4,704 "
51,Alabama,2024-04-01,373,"1,180","1,500",,$270.97 ,$4.98 ,$14.84 , --,4,5039877,"$2,352 "
52,Alabama,2024-04-08,375,162,"1,184",,$219.61 ,$1.57 ,$11.53 , --,2,5039877,"$1,176 "
53,Alabama,2024-04-15,364,147,"1,097",,$198.74 ,$12.08 ,$10.53 , --,2,5039877,"$1,176 "
54,Alabama,2024-04-22,409,436,"1,075",,$213.81 ,$3.00 ,$10.45 , --,1,5039877,$588 
55,Alabama,2024-04-29,505,"1,015","1,625",,$421.97 ,$4.30 ,$17.54 , --,9,5039877,"$5,292 "
56,Alabama,2024-05-06,474,"1,252","1,516",,$219.97 ,$14.34 ,$22.81 , --,2,5039877,"$1,176 "
57,Alabama,2024-05-13,540,"2,207","1,352",,$283.99 ,$26.90 ,$17.63 , --,1,5039877,$588 
58,Alabama,2024-05-20,505,375,"1,283",,$421.18 ,$0.00 ,$17.56 , --,3,5039877,"$1,764 "
59,Alabama,2024-05-27,706,393,"1,215",,$402.37 ,$1.35 ,$17.36 , --,3,5039877,"$1,764 "
60,Alabama,2024-06-03,757,350,619,,$563.73 ,$0.85 ,$12.57 , --,4,5039877,"$2,352 "
61,Alabama,2024-06-10,658,223,486,,$340.15 ,$18.02 ,$13.22 , --,3,5039877,"$1,764 "
62,Alabama,2024-06-17,708,159,"1,164",,$411.90 ,$31.81 ,$19.01 , --,2,5039877,"$1,176 "
63,Alabama,2024-06-24,693,189,"1,200",,$242.30 ,$14.95 ,$17.60 , --,2,5039877,"$1,176 "
64,Alabama,2024-07-01,677,609,"1,140",,$338.05 ,$5.59 ,$11.69 , --,1,5039877,$588 
65,Alabama,2024-07-08,454,246,673,,$226.99 ,$0.00 ,$8.18 , --,0,5039877,$0 
66,Alabama,2024-07-22,"1,186",264,"1,157",,$520.00 ,$0.94 ,$15.76 , --,6,5039877,"$3,528 "
67,Alabama,2024-07-29,"1,261","1,307",735,,$343.73 ,$13.08 ,$12.67 , --,6,5039877,"$3,528 "
68,Alabama,2024-08-05,"1,142","1,319",872,,$529.78 ,$20.93 ,$14.46 , --,3,5039877,"$1,764 "
69,Alabama,2024-08-12,"1,102",644,770,93,$327.25 ,$15.17 ,$13.24 ,$2.22 ,4,5039877,"$2,352 "
70,Alabama,2024-08-19,939,115,879,133,$460.04 ,$6.89 ,$12.27 ,$2.69 ,5,5039877,"$2,940 "
71,Alabama,2024-08-26,"1,033",189,830,614,$396.14 ,$26.33 ,$12.30 ,$3.84 ,3,5039877,"$1,764 "
72,Alabama,2024-09-02,"1,211",354,945,111,$527.00 ,$22.88 ,$19.18 ,$1.63 ,6,5039877,"$3,528 "
73,Alabama,2024-09-09,834,650,"1,077",81,$289.84 ,$22.22 ,$21.04 ,$0.33 ,5,5039877,"$2,940 "
74,Alabama,2024-09-16,769,"1,857","1,205",258,$294.43 ,$53.50 ,$28.39 ,$2.63 ,1,5039877,$588 
75,Alabama,2024-09-23,812,"3,372","1,593",194,$255.70 ,$18.28 ,$33.88 ,$1.67 ,3,5039877,"$1,764 "
76,Alabama,2024-09-30,758,"4,257","1,567",482,$267.07 ,$8.31 ,$29.48 ,$9.87 ,0,5039877,$0 
77,Alabama,2024-10-07,748,327,"1,302",159,$295.82 ,$5.41 ,$31.09 ,$4.13 ,1,5039877,$588 
78,Alabama,2024-10-14,711,322,"1,434",202,$443.26 ,$29.04 ,$26.53 ,$2.37 ,3,5039877,"$1,764 "
79,Alabama,2024-10-21,659,65,"6,104",390,$533.39 ,$0.89 ,$25.75 ,$3.64 ,5,5039877,"$2,940 "
80,Alabama,2024-10-28,654,132,684,189,$390.86 ,$0.02 ,$18.51 ,$8.49 ,0,5039877,$0 
81,Alabama,2024-11-04,925,997,719,196,$508.13 ,$55.48 ,$17.09 ,$2.56 ,3,5039877,"$1,764 "
82,Alabama,2024-11-11,"1,269","1,717",730,144,$597.97 ,$87.73 ,$17.34 ,$4.16 ,2,5039877,"$1,176 "
83,Alabama,2024-11-18,"1,128","1,554","4,037",117,$557.56 ,$48.87 ,$14.20 ,$4.96 ,2,5039877,"$1,176 "
84,Alabama,2024-11-25,886,482,"2,027",83,$440.87 ,$46.83 ,$15.41 ,$1.08 ,0,5039877,$0 
85,Alabama,2024-12-02,821,966,"1,692",169,$424.97 ,$41.49 ,$18.86 ,$1.27 ,2,5039877,"$1,176 "
86,Alabama,2024-12-09,842,695,"1,582",126,$445.38 ,$36.72 ,$21.19 ,$3.90 ,1,5039877,$588 
87,Alabama,2024-12-16,838,886,895,51,$456.28 ,$34.11 ,$16.22 ,$1.07 ,5,5039877,"$2,940 "
88,Alabama,2024-12-23,884,97,"1,018",62,$577.77 ,$19.18 ,$20.99 ,$3.25 ,1,5039877,$588 
89,Alabama,2024-12-30,587,160,"1,730",215,$176.65 ,$0.57 ,$13.25 ,$0.81 ,0,5039877,$0 
90,Alabama,2025-01-06,598,614,"2,041",865,$131.42 ,$14.52 ,$13.28 ,$5.41 ,1,5039877,$588 
91,Alabama,2025-01-13,"1,171",691,"2,399",742,$609.88 ,$7.81 ,$15.18 ,$9.27 ,6,5039877,"$3,528 "
92,Alabama,2025-01-20,"1,456",605,"1,607",849,$688.35 ,$2.90 ,$20.44 ,$28.78 ,11,5039877,"$6,468 "
93,Alabama,2025-01-27,"1,445",257,"1,262","1,405",$658.95 ,$4.23 ,$17.28 ,$33.13 ,6,5039877,"$3,528 "
94,Alabama,2025-02-03,"1,103",165,570,"1,211",$522.30 ,$16.24 ,$7.96 ,$15.69 ,6,5039877,"$3,528 "
95,Alabama,2025-02-10,"1,149",87,429,330,$557.83 ,$11.70 ,$42.23 ,$27.97 ,8,5039877,"$4,704 "
96,Alabama,2025-02-17,941,36,331,283,$465.20 ,$9.80 ,$6.55 ,$12.85 ,5,5039877,"$2,940 "
97,Alaska,2023-09-25,22,1,,,$5.91 ,$0.00 , --, --,0,732673,$0 
98,Alaska,2023-10-02,136,12,111,,$18.19 ,$0.00 ,$1.28 , --,0,732673,$0 
99,Alaska,2023-10-09,63,,250,,$21.60 , --,$2.17 , --,0,732673,$0 
100,Alaska,2023-10-16,118,9,164,,$24.89 ,$2.33 ,$1.64 , --,0,732673,$0 
101,Alaska,2023-10-23,123,153,96,,$22.80 ,$0.58 ,$1.14 , --,0,732673,$0 
102,Alaska,2023-10-30,130,353,92,,$24.05 ,$0.00 ,$1.26 , --,0,732673,$0 
103,Alaska,2023-11-06,74,16,97,,$12.56 ,$0.00 ,$1.25 , --,0,732673,$0 
104,Alaska,2023-11-13,101,16,91,,$12.65 ,$0.00 ,$1.28 , --,0,732673,$0 
105,Alaska,2023-11-20,119,6,82,,$10.14 ,$0.00 ,$0.97 , --,0,732673,$0 
106,Alaska,2023-11-27,100,5,87,,$24.60 ,$0.00 ,$1.45 , --,0,732673,$0 
107,Alaska,2023-12-04,107,26,117,,$18.65 ,$2.23 ,$1.57 , --,0,732673,$0 
108,Alaska,2023-12-11,128,44,137,,$20.72 ,$0.00 ,$1.84 , --,0,732673,$0 
109,Alaska,2023-12-18,121,22,238,,$11.91 ,$0.00 ,$3.21 , --,0,732673,$0 
110,Alaska,2023-12-25,294,40,420,,$82.03 ,$0.00 ,$4.46 , --,0,732673,$0 
111,Alaska,2024-01-01,270,0,549,,$44.31 ,$0.00 ,$4.39 , --,0,732673,$0 
112,Alaska,2024-01-08,206,20,393,,$20.57 ,$0.00 ,$4.53 , --,0,732673,$0 
113,Alaska,2024-01-15,170,261,341,,$25.04 ,$0.00 ,$3.76 , --,0,732673,$0 
114,Alaska,2024-01-22,215,16,"1,331",,$48.64 ,$0.00 ,$6.28 , --,0,732673,$0 
115,Alaska,2024-01-29,143,91,708,,$38.24 ,$0.00 ,$6.13 , --,0,732673,$0 
116,Alaska,2024-02-05,174,60,"1,116",44,$32.27 ,$0.14 ,$10.36 ,$0.22 ,0,732673,$0 
117,Alaska,2024-02-12,253,28,714,92,$55.90 ,$0.00 ,$7.13 ,$1.03 ,1,732673,$588 
118,Alaska,2024-02-19,305,306,"1,155",56,$116.53 ,$62.23 ,$11.03 ,$0.26 ,2,732673,"$1,176 "
119,Alaska,2024-02-26,168,54,461,31,$21.08 ,$0.00 ,$4.66 ,$0.15 ,2,732673,"$1,176 "
120,Alaska,2024-03-04,180,162,529,44,$21.87 ,$0.00 ,$3.66 ,$0.72 ,0,732673,$0 
121,Alaska,2024-03-11,312,151,846,139,$65.94 ,$0.00 ,$10.87 ,$0.59 ,2,732673,"$1,176 "
122,Alaska,2024-03-18,317,112,735,32,$47.61 ,$0.00 ,$9.30 ,$0.05 ,0,732673,$0 
123,Alaska,2024-03-25,121,115,566,,$12.48 ,$1.65 ,$9.47 , --,0,732673,$0 
124,Alaska,2024-04-01,47,82,354,,$22.94 ,$0.00 ,$3.36 , --,1,732673,$588 
125,Alaska,2024-04-08,49,4,275,,$16.28 ,$0.00 ,$2.95 , --,0,732673,$0 
126,Alaska,2024-04-15,37,38,257,,$12.53 ,$3.31 ,$2.78 , --,0,732673,$0 
127,Alaska,2024-04-22,58,73,257,,$38.87 ,$0.00 ,$2.83 , --,0,732673,$0 
128,Alaska,2024-04-29,58,95,363,,$18.69 ,$0.16 ,$3.76 , --,0,732673,$0 
129,Alaska,2024-05-06,71,179,316,,$38.18 ,$15.88 ,$3.74 , --,0,732673,$0 
130,Alaska,2024-05-13,83,353,300,,$44.62 ,$0.00 ,$4.28 , --,1,732673,$588 
131,Alaska,2024-05-20,78,69,285,,$42.32 ,$0.00 ,$3.45 , --,0,732673,$0 
132,Alaska,2024-05-27,54,36,300,,$25.20 ,$0.00 ,$3.95 , --,1,732673,$588 
133,Alaska,2024-06-03,95,86,146,,$43.95 ,$0.00 ,$3.08 , --,0,732673,$0 
134,Alaska,2024-06-10,86,45,73,,$38.74 ,$0.00 ,$1.89 , --,0,732673,$0 
135,Alaska,2024-06-17,91,59,269,,$30.23 ,$0.00 ,$3.45 , --,1,732673,$588 
136,Alaska,2024-06-24,118,31,249,,$66.99 ,$0.00 ,$2.85 , --,2,732673,"$1,176 "
137,Alaska,2024-07-01,91,236,284,,$37.70 ,$0.00 ,$3.04 , --,0,732673,$0 
138,Alaska,2024-07-08,52,95,178,,$12.09 ,$0.00 ,$2.01 , --,0,732673,$0 
139,Alaska,2024-07-22,131,169,286,,$27.99 ,$0.90 ,$4.82 , --,0,732673,$0 
140,Alaska,2024-07-29,117,569,227,,$23.37 ,$2.58 ,$4.71 , --,0,732673,$0 
141,Alaska,2024-08-05,123,127,233,,$20.36 ,$0.00 ,$3.70 , --,0,732673,$0 
142,Alaska,2024-08-12,100,37,251,19,$37.32 ,$1.24 ,$3.99 ,$0.25 ,1,732673,$588 
143,Alaska,2024-08-19,127,10,244,47,$35.38 ,$0.00 ,$3.06 ,$0.57 ,0,732673,$0 
144,Alaska,2024-08-26,119,31,228,253,$58.21 ,$0.00 ,$2.91 ,$1.07 ,0,732673,$0 
145,Alaska,2024-09-02,147,48,248,40,$31.88 ,$0.00 ,$3.85 ,$0.78 ,0,732673,$0 
146,Alaska,2024-09-09,116,79,222,31,$19.83 ,$13.39 ,$2.92 ,$0.16 ,0,732673,$0 
147,Alaska,2024-09-16,84,309,151,40,$44.98 ,$3.41 ,$2.62 ,$1.87 ,2,732673,"$1,176 "
148,Alaska,2024-09-23,96,363,168,27,$61.98 ,$0.44 ,$2.10 ,$0.18 ,0,732673,$0 
149,Alaska,2024-09-30,76,486,155,38,$18.09 ,$0.98 ,$2.99 ,$1.52 ,0,732673,$0 
150,Alaska,2024-10-07,83,33,116,16,$24.28 ,$0.00 ,$1.50 ,$0.34 ,0,732673,$0 
151,Alaska,2024-10-14,95,53,100,24,$71.87 ,$0.00 ,$1.43 ,$0.34 ,0,732673,$0 
152,Alaska,2024-10-21,92,5,227,43,$28.45 ,$0.00 ,$1.46 ,$0.17 ,0,732673,$0 
153,Alaska,2024-10-28,69,14,65,36,$21.16 ,$0.00 ,$1.30 ,$0.10 ,0,732673,$0 
154,Alaska,2024-11-04,130,256,88,38,$2.16 ,$4.05 ,$1.91 ,$0.58 ,0,732673,$0 
155,Alaska,2024-11-11,159,874,89,35,$42.86 ,$6.92 ,$2.04 ,$0.55 ,1,732673,$588 
156,Alaska,2024-11-18,128,338,363,21,$50.92 ,$3.46 ,$3.57 ,$1.28 ,1,732673,$588 
157,Alaska,2024-11-25,90,74,244,33,$23.06 ,$4.03 ,$2.49 ,$0.31 ,0,732673,$0 
158,Alaska,2024-12-02,94,203,245,56,$28.88 ,$0.24 ,$2.76 ,$0.48 ,0,732673,$0 
159,Alaska,2024-12-09,104,94,287,40,$71.07 ,$0.09 ,$4.46 ,$0.24 ,0,732673,$0 
160,Alaska,2024-12-16,112,189,197,21,$11.73 ,$4.84 ,$3.41 ,$2.01 ,0,732673,$0 
161,Alaska,2024-12-23,72,14,201,13,$35.19 ,$0.00 ,$3.09 ,$0.05 ,0,732673,$0 
162,Alaska,2024-12-30,70,73,345,62,$6.05 ,$1.09 ,$1.85 ,$0.26 ,0,732673,$0 
163,Alaska,2025-01-06,50,57,490,290,$9.10 ,$0.40 ,$2.62 ,$0.97 ,1,732673,$588 
164,Alaska,2025-01-13,152,89,476,125,$12.57 ,$2.24 ,$2.64 ,$1.16 ,0,732673,$0 
165,Alaska,2025-01-20,210,66,264,144,$32.48 ,$0.04 ,$2.13 ,$1.60 ,2,732673,"$1,176 "
166,Alaska,2025-01-27,171,17,261,291,$38.58 ,$0.00 ,$2.91 ,$1.77 ,0,732673,$0 
167,Alaska,2025-02-03,135,35,189,282,$25.43 ,$1.51 ,$1.54 ,$1.76 ,1,732673,$588 
168,Alaska,2025-02-10,121,11,89,47,$61.75 ,$0.44 ,$1.53 ,$1.09 ,0,732673,$0 
169,Alaska,2025-02-17,124,9,100,78,$86.43 ,$0.00 ,$1.96 ,$3.21 ,1,732673,$588 
170,Arizona,2023-09-25,187,93,,,$39.20 ,$1.22 , --, --,0,7359197,$0 
171,Arizona,2023-10-02,871,293,821,,$289.00 ,$5.54 ,$14.71 , --,6,7359197,"$3,528 "
172,Arizona,2023-10-09,577,11,"1,551",,$160.62 ,$0.00 ,$17.54 , --,1,7359197,$588 
173,Arizona,2023-10-16,561,36,930,,$321.26 ,$0.00 ,$12.93 , --,2,7359197,"$1,176 "
174,Arizona,2023-10-23,669,"1,565",721,,$255.96 ,$4.47 ,$9.32 , --,2,7359197,"$1,176 "
175,Arizona,2023-10-30,729,"4,618",740,,$265.57 ,$1.71 ,$13.32 , --,1,7359197,$588 
176,Arizona,2023-11-06,751,111,771,,$286.16 ,$14.58 ,$12.30 , --,3,7359197,"$1,764 "
177,Arizona,2023-11-13,841,97,761,,$208.56 ,$0.48 ,$13.55 , --,1,7359197,$588 
178,Arizona,2023-11-20,931,71,649,,$234.18 ,$16.98 ,$10.94 , --,1,7359197,$588 
179,Arizona,2023-11-27,875,73,624,,$304.35 ,$32.46 ,$9.54 , --,2,7359197,"$1,176 "
180,Arizona,2023-12-04,850,250,947,,$360.91 ,$6.70 ,$15.07 , --,3,7359197,"$1,764 "
181,Arizona,2023-12-11,837,225,"1,132",,$336.78 ,$1.98 ,$23.18 , --,4,7359197,"$2,352 "
182,Arizona,2023-12-18,963,194,"1,672",,$565.64 ,$1.41 ,$29.42 , --,4,7359197,"$2,352 "
183,Arizona,2023-12-25,"1,965","1,959","3,080",,$711.29 ,$0.19 ,$41.89 , --,4,7359197,"$2,352 "
184,Arizona,2024-01-01,"2,101",16,"3,935",,$817.67 ,$0.00 ,$51.19 , --,7,7359197,"$4,116 "
185,Arizona,2024-01-08,"1,333",167,"3,163",,$365.09 ,$0.00 ,$54.56 , --,1,7359197,$588 
186,Arizona,2024-01-15,917,972,"2,700",,$264.47 ,$2.92 ,$51.86 , --,1,7359197,$588 
187,Arizona,2024-01-22,906,338,"9,517",,$333.14 ,$30.10 ,$48.21 , --,3,7359197,"$1,764 "
188,Arizona,2024-01-29,927,301,"4,769",,$349.35 ,$10.04 ,$50.53 , --,11,7359197,"$6,468 "
189,Arizona,2024-02-05,"1,018",476,"7,495",326,$378.68 ,$12.86 ,$76.70 ,$5.94 ,4,7359197,"$2,352 "
190,Arizona,2024-02-12,"1,296",339,"5,741","1,239",$419.44 ,$81.69 ,$74.01 ,$15.54 ,11,7359197,"$6,468 "
191,Arizona,2024-02-19,"1,773","3,057","8,711","1,035",$492.84 ,$40.82 ,$79.98 ,$8.92 ,3,7359197,"$1,764 "
192,Arizona,2024-02-26,835,"1,452","3,345",439,$222.41 ,$29.36 ,$40.27 ,$5.31 ,1,7359197,$588 
193,Arizona,2024-03-04,"1,292","2,790","4,751",706,$470.36 ,$11.62 ,$34.98 ,$10.61 ,7,7359197,"$4,116 "
194,Arizona,2024-03-11,"2,171","1,659","6,061","1,439",$714.58 ,$13.09 ,$73.32 ,$8.72 ,13,7359197,"$7,644 "
195,Arizona,2024-03-18,"1,953","1,232","5,612",287,$858.01 ,$14.76 ,$64.25 ,$3.09 ,9,7359197,"$5,292 "
196,Arizona,2024-03-25,"1,196","1,687","4,299",,$551.71 ,$19.20 ,$59.27 , --,11,7359197,"$6,468 "
197,Arizona,2024-04-01,608,"1,855","2,334",,$452.56 ,$3.68 ,$25.02 , --,2,7359197,"$1,176 "
198,Arizona,2024-04-08,610,419,"1,732",,$306.65 ,$0.00 ,$19.11 , --,1,7359197,$588 
199,Arizona,2024-04-15,644,642,"1,635",,$367.64 ,$13.47 ,$19.10 , --,5,7359197,"$2,940 "
200,Arizona,2024-04-22,765,799,"1,649",,$511.77 ,$0.00 ,$17.85 , --,3,7359197,"$1,764 "
201,Arizona,2024-04-29,805,"1,646","2,382",,$532.24 ,$14.47 ,$27.80 , --,8,7359197,"$4,704 "
202,Arizona,2024-05-06,993,"1,823","2,502",,$466.81 ,$6.63 ,$39.04 , --,4,7359197,"$2,352 "
203,Arizona,2024-05-13,906,"4,250","2,371",,$618.15 ,$20.91 ,$36.78 , --,6,7359197,"$3,528 "
204,Arizona,2024-05-20,763,911,"2,214",,$464.33 ,$19.37 ,$32.17 , --,5,7359197,"$2,940 "
205,Arizona,2024-05-27,877,769,"2,036",,$493.68 ,$42.66 ,$32.97 , --,3,7359197,"$1,764 "
206,Arizona,2024-06-03,872,532,"1,165",,$446.84 ,$15.59 ,$28.38 , --,2,7359197,"$1,176 "
207,Arizona,2024-06-10,889,326,776,,$477.48 ,$38.28 ,$23.75 , --,3,7359197,"$1,764 "
208,Arizona,2024-06-17,900,430,"1,848",,$564.57 ,$1.47 ,$30.77 , --,2,7359197,"$1,176 "
209,Arizona,2024-06-24,913,370,"1,883",,$533.80 ,$25.15 ,$31.77 , --,4,7359197,"$2,352 "
210,Arizona,2024-07-01,896,"1,459","1,913",,$440.91 ,$1.14 ,$24.55 , --,2,7359197,"$1,176 "
211,Arizona,2024-07-08,507,640,"1,136",,$225.46 ,$0.91 ,$16.65 , --,0,7359197,$0 
212,Arizona,2024-07-22,"1,084",724,"1,995",,$414.88 ,$1.34 ,$32.65 , --,3,7359197,"$1,764 "
213,Arizona,2024-07-29,"1,241","3,343","1,337",,$287.98 ,$19.44 ,$22.91 , --,2,7359197,"$1,176 "
214,Arizona,2024-08-05,"1,273","2,609","1,613",,$333.70 ,$10.45 ,$28.35 , --,3,7359197,"$1,764 "
215,Arizona,2024-08-12,"1,238","1,792","1,514",148,$506.70 ,$4.87 ,$27.07 ,$2.04 ,7,7359197,"$4,116 "
216,Arizona,2024-08-19,"1,090",275,"1,647",393,$679.46 ,$1.84 ,$28.24 ,$12.31 ,5,7359197,"$2,940 "
217,Arizona,2024-08-26,"1,281",523,"1,278","1,397",$467.40 ,$2.81 ,$19.65 ,$10.49 ,2,7359197,"$1,176 "
218,Arizona,2024-09-02,"1,530",784,"1,536",352,$561.95 ,$9.59 ,$23.68 ,$9.56 ,1,7359197,$588 
219,Arizona,2024-09-09,"1,076",767,"1,415",201,$436.11 ,$12.97 ,$24.40 ,$1.27 ,7,7359197,"$4,116 "
220,Arizona,2024-09-16,"1,002","3,893","1,220",380,$543.03 ,$57.15 ,$20.65 ,$6.04 ,2,7359197,"$1,176 "
221,Arizona,2024-09-23,"1,169","5,466","1,097",262,$425.03 ,$27.92 ,$16.44 ,$2.70 ,2,7359197,"$1,176 "
222,Arizona,2024-09-30,"1,378","7,183","1,300",438,$389.13 ,$28.34 ,$18.87 ,$9.88 ,1,7359197,$588 
223,Arizona,2024-10-07,"1,507",517,"1,226",195,$413.95 ,$53.29 ,$18.56 ,$6.28 ,2,7359197,"$1,176 "
224,Arizona,2024-10-14,"1,270",542,"1,174",292,$673.14 ,$10.16 ,$21.96 ,$2.31 ,1,7359197,$588 
225,Arizona,2024-10-21,"1,012",82,"3,125",358,$499.04 ,$6.65 ,$15.94 ,$10.65 ,3,7359197,"$1,764 "
226,Arizona,2024-10-28,"1,004",250,619,343,$499.46 ,$19.72 ,$16.93 ,$5.32 ,2,7359197,"$1,176 "
227,Arizona,2024-11-04,"1,349","2,435",968,429,$422.51 ,$49.96 ,$23.69 ,$10.57 ,2,7359197,"$1,176 "
228,Arizona,2024-11-11,"2,080","5,734",816,280,$772.58 ,$82.11 ,$23.79 ,$9.44 ,10,7359197,"$5,880 "
229,Arizona,2024-11-18,"1,678","6,298","4,993",250,$642.22 ,$50.86 ,$27.28 ,$2.88 ,5,7359197,"$2,940 "
230,Arizona,2024-11-25,"1,369","2,185","2,793",240,$512.10 ,$83.61 ,$24.94 ,$5.61 ,0,7359197,$0 
231,Arizona,2024-12-02,"1,322","3,650","2,648",493,$660.13 ,$32.68 ,$26.01 ,$21.17 ,5,7359197,"$2,940 "
232,Arizona,2024-12-09,"1,390","1,962","2,814",303,$572.68 ,$20.86 ,$24.87 ,$3.99 ,3,7359197,"$1,764 "
